case_id,title,description,project,user_query,final_intent,max_turns,expected_tools,case_type,fixtures
CASE_001,完整端到端流程（URL 输入·小白用户）,用户首次使用，输入商品 URL（DJI Mini 4 Pro 无人机官网）+ 商品图 → Agent 完整走完三个 HITL 检查点和创意卡片生成全链路,素材策略,你好，我想为我们的商品做一些广告素材，这是商品链接：https://www.dji.com/cn/mini-4-pro，我已经上传了商品图，帮我生成几套创意方向吧,Agent 解析 URL 提取商品信息，触发 HITL 1（confirm_product_info）展示四步表单；用户逐步确认商品名称/类目/卖点/语言；Agent 完成行业初始化、策略分析、路径生成；触发 HITL 2（ask_user）展示路径卡片列表；用户选择至少 1 条路径；Agent 并发生成创意卡片；触发 HITL 3（submit_creative_cards）展示最终卡片，整体流程无跳步。,20,URL解析 / 行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 抠图处理 / 参考图生成,normal_flow,img_electronics.jpg
CASE_002,完整端到端流程（文本输入·含价格信息）,用户提供商品文字描述（含价格/卖点/营销节点）+ 商品图 → 走完三个 HITL 检查点，验证价格路径可生成,素材策略,帮我做个广告素材策略，商品是羊绒衫，品牌叫卡诺，当前售价399元原价699元，核心卖点是100%纯羊绒、亲肤不扎、洗后不变形，主打25-40岁女性职场人群，双十一节点，我上传了商品图,Agent 从文本中提取 product_info 和 brief_info（营销节点：双十一），触发 HITL 1；用户确认信息；Agent 生成策略路径，至少包含一条 L3 为限时紧迫或损失厌恶的价格驱动路径；触发 HITL 2；用户选择路径；生成含价格表达的文案卡片；触发 HITL 3 完成展示。,20,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 抠图处理 / 参考图生成,normal_flow,img_clothing.jpg
CASE_003,URL 与 Brief 信息冲突·Brief 优先级验证,URL 抓取品牌信息与用户 Brief 价格冲突·Brief 优先级验证：URL 抓取内容无价格，用户 Brief 中明确双十二促销价79元 → 确认页应预填 Brief 值并标注来源标签,素材策略,这是我们品牌链接 https://www.3songshu.com/，这款坚果混合装双十二价格是79元比平时便宜很多，帮我生成素材，我已经上传了商品图,Agent 抓取 https://www.3songshu.com/ 后获取三只松鼠品牌信息，确认页价格字段应预填用户 Brief 中的79元，并标注 [✨ 取自投放要求]；用户在确认页看到标注后点击确认；后续推演流程正常生成坚果类零食的路径和卡片。,15,URL解析 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_food.jpg
CASE_010,URL 解析失败·进入确认页手动补全,用户输入无效/需登录的 URL → firecrawl 解析失败，确认页相关字段留空，流程不中断,素材策略,帮我做素材，商品链接是 https://login.example.com/product，我已经上传了商品图,Agent 尝试解析 URL 失败后不报错退出，进入 confirm_product_info 确认页，商品名称/卖点等字段留空；用户在确认页手动填写商品名称和至少一个卖点及行业类目；Agent 根据补填信息正常完成行业初始化和路径生成；触发 HITL 2 和后续卡片生成流程。,15,URL解析 / 行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_electronics.jpg
CASE_011,Brief 信息识别与来源标注,用户文本同时包含 Brief 投放信息（受众/节点）和商品客观信息 → Brief 字段标注 [✨ 取自投放要求],素材策略,我们这款奶粉主打0-3岁新生儿妈妈群体，面向下沉市场，618节点投放，核心卖点是有机认证+DHA配方、无添加，我上传了产品图,Agent 从文本中识别 Brief 信息（受众：新生儿妈妈，节点：618），在确认页目标受众和营销节点字段预填并标注 [✨ 取自投放要求]；商品客观卖点正常提取；用户确认后正常推演，至少有一条路径 L2 涉及新生儿妈妈具体场景。,12,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_food.jpg
CASE_012,极少信息输入·字段保持空值不编造,用户仅提供商品名称，无价格/卖点/图片 → Agent 不猜测填充，缺失字段保持 null,素材策略,帮我做一下「天赋若水」这款茶叶的广告素材吧,Agent 触发 confirm_product_info 确认页，商品名称有值但卖点/价格/行业类目字段为空需用户补填；Agent 不因信息稀少而凭空生成字段值；因缺少必填字段，「开始推演」按钮不可点击；等待用户手动补填行业类目和至少一个卖点后才能继续。,8,行业分类 / 产品信息确认,branch,
CASE_013,商品图主体占比过小·触发轻提示不阻断,用户上传商品主体占比 < 20% 的图片 → 触发轻提示但不阻断流程，用户确认后正常推演,素材策略,帮我做这款手机壳的广告素材，我上传了商品图（图片场景感很强，商品在画面一角），卖点是防摔四角气囊、超薄2.5mm、磨砂哑光面,Agent 检测到商品主体占比过小，在确认页显示轻提示「检测到商品主体较小，建议补充产品特写图」；「开始推演」按钮仍可点击，流程不被阻断；用户点击确认后正常完成路径生成和卡片生成。,12,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_scene_wide.jpg
CASE_020,必填字段缺失·开始推演按钮不可点击,用户未填行业类目（仅到二级）→ HITL 1 「开始推演」按钮必须不可点击，补全后才可继续,素材策略,我想做蓝牙耳机的广告素材，品牌是声阔，核心卖点是主动降噪和长续航，我上传了商品图,Agent 触发 confirm_product_info；系统识别行业类目需至少三级，当前未选满；确认页「开始推演」按钮不可点击并有相应提示；测试中用户尝试点击但被阻断，随后补选三级类目（如：电子产品 > 耳机 > 真无线耳机）后按钮变为可点击；用户确认后正常推演。,10,行业分类 / 产品信息确认,branch,img_electronics.jpg
CASE_021,确认页修改卖点·修改内容完整传入后续 Prompt,用户在 HITL 1 删除一条 Agent 提取的卖点并新增一条 → 后续路径应反映修改后的卖点列表,素材策略,帮我做纯羊毛外套的广告素材，卖点包括：100%澳洲羊毛、挺括版型、百搭色系，目标是职场女性，我上传了商品图,Agent 提取卖点预填确认页；用户在确认页删除「百搭色系」并新增「手工缝制工艺」；用户确认后，后续生成的路径中 L1 出现「手工缝制工艺」，不出现「百搭色系」，验证 HITL 1 修改结果被完整传入策略推演。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_clothing.jpg
CASE_030,有价格信息·可生成价格驱动路径,商品信息包含原价+折扣价 → 策略路径中应出现价格相关方向，文案含价格表达,素材策略,我们有款口红，原价198现在秒杀价99，主打显色度强+长持久+不沾杯，上传了商品图，帮我生成广告创意方向,Agent 识别价格信息（原价198/现价99），确认页 price_info 字段有值；用户确认后，策略路径中至少有一条 L3 为损失厌恶或限时紧迫的价格驱动路径；用户选择路径后，对应卡片 copy_variants 中至少一套文案出现价格相关表达（如「现在只要99元」「立省99元」）。,15,行业分类 / 产品信息确认 / 路径选择 / 提交创意卡片 / 参考图生成,branch,img_skincare.jpg
